time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/reward,train/approx_kl,train/loss,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/std,train/n_updates,train/explained_variance,train/clip_range,train/clip_fraction,train/entropy_loss
365,2048,5,1,31.128307,,,,,,,,,,,
355,4096,11,2,-32.018578,0.020210112,65.67214965820312,154.7974536895752,0.00025,-0.06530613700451796,1.002030849456787,10,-0.004490017890930176,0.2,0.218994140625,-42.60518043041229
351,6144,17,3,-42.494926,0.015580978,198.14244079589844,476.8288318634033,0.00025,-0.05711341517744586,1.0039292573928833,20,-0.0009062290191650391,0.2,0.1505859375,-42.665466690063475
351,8192,23,4,7.257915,0.013884731,611.2022094726562,1029.9284534454346,0.00025,-0.046639649366261436,1.0060842037200928,30,0.002666771411895752,0.2,0.12919921875,-42.71892080307007
351,10240,29,5,-31.474516,0.01103753,522.30908203125,1184.632911300659,0.00025,-0.042992721556220206,1.0065721273422241,40,0.01607644557952881,0.2,0.089892578125,-42.759089541435245
351,12288,34,6,133.78058,0.013064489,630.2186279296875,1399.3333839416505,0.00025,-0.047015719403862025,1.0083019733428955,50,0.026196718215942383,0.2,0.12568359375,-42.793125820159915
351,14336,40,7,8.113472,0.012166448,1022.2128295898438,1792.6229042053224,0.00025,-0.04464004225446842,1.0099862813949585,60,0.04354739189147949,0.2,0.108740234375,-42.84211678504944
351,16384,46,8,69.174644,0.015592228,539.9340209960938,1048.8353649139403,0.00025,-0.05007978575886227,1.012078046798706,70,0.048671841621398926,0.2,0.165380859375,-42.90101022720337
350,18432,52,9,-1.260345,0.019813336,328.2120056152344,651.410922241211,0.00025,-0.06713028297235724,1.0154848098754883,80,0.024538934230804443,0.2,0.22109375,-42.97933099269867
347,20480,58,10,22.846928,0.015405387,498.4877014160156,1164.5117755889892,0.00025,-0.057116427368600856,1.0176235437393188,90,0.04428142309188843,0.2,0.154150390625,-43.06759340763092
347,22528,64,11,5.90235,0.011140393,2861.363037109375,4550.418893432618,0.00025,-0.037047898638411424,1.017696499824524,100,-0.0006242990493774414,0.2,0.094482421875,-43.09383156299591
348,24576,70,12,-162.11038,0.015391059,616.9439697265625,1561.9406677246093,0.00025,-0.056942436430836095,1.0185893774032593,110,0.005892932415008545,0.2,0.16357421875,-43.10522611141205
347,26624,76,13,95.13867,0.014488686,1515.0904541015625,3223.6807647705077,0.00025,-0.040172108568367546,1.019651174545288,120,0.022919416427612305,0.2,0.1490234375,-43.13793952465058
347,28672,82,14,-108.54934,0.012659614,1135.7398681640625,2579.7109451293945,0.00025,-0.047686632446129806,1.0207610130310059,130,0.03797787427902222,0.2,0.115966796875,-43.16779215335846
347,30720,88,15,53.7728,0.014550716,1138.459716796875,2062.1141044616697,0.00025,-0.055643581284675746,1.021791696548462,140,0.007135748863220215,0.2,0.14736328125,-43.20087211132049
347,32768,94,16,29.12831,0.0149249025,1368.641357421875,2832.0345703125,0.00025,-0.05239596826140769,1.0235145092010498,150,0.04001528024673462,0.2,0.138134765625,-43.24258456230164
347,34816,100,17,2.2451806,0.01282202,1362.173095703125,2971.4824081420898,0.00025,-0.0476072667632252,1.0243908166885376,160,0.07924312353134155,0.2,0.125927734375,-43.2784247636795
347,36864,106,18,120.15805,0.014878297,1391.7755126953125,2564.1398643493653,0.00025,-0.05142758764559403,1.0262353420257568,170,0.09015160799026489,0.2,0.161279296875,-43.319169878959656
347,38912,111,19,-279.67545,0.013278667,1756.6514892578125,4179.416918945312,0.00025,-0.04938794235349633,1.0284807682037354,180,0.011307597160339355,0.2,0.11279296875,-43.379086184501645
347,40960,117,20,-76.645905,0.0125314,5149.8310546875,7590.478973388672,0.00025,-0.04102418564143591,1.0290732383728027,190,0.02117633819580078,0.2,0.109912109375,-43.419003915786746
347,43008,123,21,44.02213,0.010413126,9443.3349609375,11072.950665283202,0.00025,-0.03581470875215018,1.0296542644500732,200,0.03487861156463623,0.2,0.08330078125,-43.43536186218262
347,45056,129,22,-53.735138,0.014247968,1856.980712890625,4345.6732376098635,0.00025,-0.04982456525613088,1.0322774648666382,210,0.041510820388793945,0.2,0.12841796875,-43.48569715023041
348,47104,135,23,-47.558346,0.017036665,2193.507080078125,5518.225028991699,0.00025,-0.04402618021267699,1.034096360206604,220,0.03925591707229614,0.2,0.168017578125,-43.548464179039
348,49152,141,24,-165.51483,0.012211684,3512.62890625,6604.709375,0.00025,-0.04924953702138737,1.0357162952423096,230,0.042630910873413086,0.2,0.1103515625,-43.59879953861237
348,51200,147,25,63.503517,0.01246183,3547.98974609375,6514.370559692383,0.00025,-0.05097736423485912,1.0373520851135254,240,0.0534633994102478,0.2,0.11865234375,-43.64514422416687
346,53248,153,26,138.95747,0.012404168,1540.0751953125,5545.718208312988,0.00025,-0.047704015701310706,1.039010763168335,250,0.07422208786010742,0.2,0.115380859375,-43.689656949043275
346,55296,159,27,-16.481781,0.01145664,6837.25048828125,6209.274810791016,0.00025,-0.04442310092854314,1.039221167564392,260,0.07558876276016235,0.2,0.093359375,-43.71782281398773
346,57344,165,28,24.538544,0.013328494,2941.7802734375,7355.529623413086,0.00025,-0.04761836458637845,1.039967656135559,270,0.07997167110443115,0.2,0.119384765625,-43.72979588508606
347,59392,171,29,-6.502442,0.018823279,1560.147705078125,3044.3981483459474,0.00025,-0.050199978446471505,1.042765498161316,280,-0.013239741325378418,0.2,0.198291015625,-43.78567433357239
347,61440,176,30,-412.74838,0.016440276,1300.492919921875,3356.74780960083,0.00025,-0.05693322783336043,1.0428203344345093,290,0.02989363670349121,0.2,0.16416015625,-43.820382475852966
347,63488,182,31,93.66268,0.015036954,2302.929443359375,5721.531045532227,0.00025,-0.04984453833603766,1.0455071926116943,300,0.056164443492889404,0.2,0.15439453125,-43.8675612449646
347,65536,188,32,-21.8878,0.013022573,7240.0693359375,9219.573855590821,0.00025,-0.04378577252791729,1.0473390817642212,310,0.07226592302322388,0.2,0.116552734375,-43.929752707481384
347,67584,194,33,-26.17525,0.018747225,2490.4814453125,4990.928088378906,0.00025,-0.053224719953141174,1.0488309860229492,320,0.08753526210784912,0.2,0.202880859375,-43.976003122329715
347,69632,200,34,19.9482,0.0122910105,9571.5087890625,15131.39126586914,0.00025,-0.040658801028621384,1.049831509590149,330,0.0765833854675293,0.2,0.107958984375,-44.009253811836246
347,71680,206,35,-85.51147,0.007962663,12734.892578125,28934.80959472656,0.00025,-0.035837433495908046,1.0503379106521606,340,0.07251065969467163,0.2,0.044775390625,-44.032096886634825
347,73728,212,36,-66.53657,0.018082455,2604.875244140625,6151.153839111328,0.00025,-0.055848085292382166,1.050306797027588,350,0.12297159433364868,0.2,0.18837890625,-44.0369252204895
347,75776,217,37,-61.564823,0.011127809,6346.26806640625,12926.637091064453,0.00025,-0.04409940544283018,1.050836443901062,360,0.08823585510253906,0.2,0.093701171875,-44.05117824077606
347,77824,223,38,-0.36408067,0.011149287,9432.1640625,14078.22353515625,0.00025,-0.04266818829200929,1.0525195598602295,370,0.09000188112258911,0.2,0.093017578125,-44.07793960571289
347,79872,229,39,-21.278429,0.014212737,5507.54345703125,14389.057440185547,0.00025,-0.0451453305548057,1.05439293384552,380,0.10516417026519775,0.2,0.13857421875,-44.12946665287018
347,81920,235,40,23.900782,0.013713873,8937.0224609375,21280.960076904295,0.00025,-0.038340819749282676,1.0556526184082031,390,0.07858121395111084,0.2,0.128466796875,-44.17392694950104
347,83968,241,41,-289.17056,0.012825923,7668.31787109375,15942.94849243164,0.00025,-0.04894513892650139,1.0570056438446045,400,0.10543698072433472,0.2,0.1083984375,-44.21102728843689
347,86016,247,42,41.102547,0.022791568,880.8868408203125,2144.6117248535156,0.00025,-0.0675007492362056,1.059653401374817,410,-0.0018924474716186523,0.2,0.246826171875,-44.26909787654877
347,88064,253,43,-116.497894,0.028026152,5507.53515625,8843.226225280761,0.00025,-0.04005942132353084,1.0610992908477783,420,0.10681682825088501,0.2,0.2986328125,-44.328618097305295
347,90112,259,44,-39.962833,0.019718736,14176.1240234375,20994.617041015626,0.00025,-0.03678149702900555,1.0627721548080444,430,0.09104925394058228,0.2,0.200146484375,-44.365421772003174
347,92160,264,45,-38.205692,0.015979916,4633.5341796875,15351.440432739259,0.00025,-0.041756273014470935,1.0643203258514404,440,0.10401850938796997,0.2,0.161181640625,-44.414367365837094
346,94208,271,46,-48.98257,0.01214422,5652.1650390625,15381.980242919923,0.00025,-0.04605579130293336,1.0652515888214111,450,0.07961761951446533,0.2,0.113525390625,-44.448101139068605
346,96256,277,47,-199.1268,0.018102797,8857.41015625,16867.41326904297,0.00025,-0.03956806310743559,1.0662553310394287,460,0.12477809190750122,0.2,0.182421875,-44.47701213359833
346,98304,283,48,-211.12036,0.019005235,4160.3955078125,11762.211483764648,0.00025,-0.04761868522909936,1.0690985918045044,470,0.10914695262908936,0.2,0.192626953125,-44.53190557956695
346,100352,289,49,-24.79417,0.013846081,3611.185546875,12464.318035888671,0.00025,-0.05027745114057325,1.0709705352783203,480,0.1084820032119751,0.2,0.137841796875,-44.60350182056427
346,102400,295,50,-34.085682,0.017133549,4467.07763671875,8676.627810668946,0.00025,-0.05715510598092806,1.0745322704315186,490,0.13654780387878418,0.2,0.171240234375,-44.678508567810056
346,104448,301,51,24.2369,0.011929369,8142.103515625,21133.15802612305,0.00025,-0.045760719213285485,1.076352834701538,500,0.13549131155014038,0.2,0.107958984375,-44.749347829818724
346,106496,306,52,-27.179771,0.014677148,6558.4423828125,14206.419219970703,0.00025,-0.05238707167445682,1.0780541896820068,510,0.14481639862060547,0.2,0.138623046875,-44.79169116020203
347,108544,312,53,161.85,0.015347942,4674.02294921875,9847.97134399414,0.00025,-0.057281576859531926,1.0795447826385498,520,0.14381426572799683,0.2,0.162158203125,-44.839052605628964
347,110592,318,54,-291.7965,0.015630785,5004.716796875,11285.083547973632,0.00025,-0.0553897232923191,1.08133065700531,530,0.10829490423202515,0.2,0.171484375,-44.88429234027863
347,112640,324,55,130.54025,0.014463797,4751.2724609375,13061.932641601563,0.00025,-0.05328854804101866,1.0814356803894043,540,0.09318381547927856,0.2,0.147900390625,-44.90442249774933
347,114688,330,56,-45.087906,0.030947596,7722.625,21900.340710449218,0.00025,-0.026384628945379518,1.0825952291488647,550,0.12513798475265503,0.2,0.3087890625,-44.924135303497316
347,116736,336,57,-23.150099,0.01790343,15491.994140625,20364.25093383789,0.00025,-0.04463521766156191,1.0839594602584839,560,0.1324535608291626,0.2,0.17197265625,-44.95807955265045
347,118784,342,58,26.80675,0.014461175,8819.66015625,21140.99296875,0.00025,-0.05043622784432955,1.0846539735794067,570,0.14888203144073486,0.2,0.138232421875,-44.98872995376587
347,120832,348,59,-70.490395,0.024273504,2406.189208984375,5822.895487976074,0.00025,-0.06339286442380399,1.087542176246643,580,0.13780969381332397,0.2,0.24716796875,-45.03741264343262
347,122880,353,60,177.69336,0.016734617,4111.251953125,11121.482971191406,0.00025,-0.05893576341331937,1.088120698928833,590,0.09866243600845337,0.2,0.177880859375,-45.08410074710846
347,124928,359,61,-41.62,0.019449638,10713.630859375,17214.965710449218,0.00025,-0.052008018505875955,1.0902976989746094,600,0.1257774829864502,0.2,0.182470703125,-45.11755285263062
347,126976,365,62,6.2038965,0.01582325,5567.81494140625,13316.146551513672,0.00025,-0.057554833259200675,1.0925320386886597,610,0.15973973274230957,0.2,0.17646484375,-45.189500379562375
347,129024,371,63,-495.61514,0.015882973,5802.6474609375,15903.60474243164,0.00025,-0.055381992910406554,1.0936061143875122,620,0.14293169975280762,0.2,0.1712890625,-45.22315211296082
347,131072,377,64,-52.15075,0.013706397,10918.4345703125,21348.519598388673,0.00025,-0.05030059398850426,1.0952914953231812,630,0.14093083143234253,0.2,0.12646484375,-45.26869912147522
347,133120,383,65,-15.60218,0.023664746,7849.22607421875,15562.407931518555,0.00025,-0.04679696853563655,1.0982844829559326,640,0.11884450912475586,0.2,0.22783203125,-45.337442708015445
347,135168,389,66,-23.431189,0.023641277,7482.484375,23284.403234863283,0.00025,-0.03789259891200345,1.1000213623046875,650,0.11169666051864624,0.2,0.224169921875,-45.39173629283905
347,137216,394,67,-19.176275,0.014327737,5345.68896484375,18491.925329589845,0.00025,-0.051186805558972995,1.1016335487365723,660,0.15638411045074463,0.2,0.153564453125,-45.44643223285675
347,139264,400,68,-2.7053175,0.015352169,11011.9775390625,20216.94769897461,0.00025,-0.05620711859955918,1.1021636724472046,670,0.149478018283844,0.2,0.15654296875,-45.4715934753418
347,141312,406,69,-108.54471,0.015581606,14097.2314453125,28845.855139160158,0.00025,-0.04458022416511085,1.1031657457351685,680,0.14311403036117554,0.2,0.132470703125,-45.486752128601076
346,143360,414,70,-39.622223,0.014822823,7715.50732421875,18063.265234375,0.00025,-0.057385986158624294,1.104427695274353,690,0.1787596344947815,0.2,0.159375,-45.51955201625824
346,145408,420,71,112.95405,0.013556013,10500.0810546875,19698.1920715332,0.00025,-0.050676581988227554,1.1062060594558716,700,0.12442606687545776,0.2,0.140673828125,-45.56232991218567
346,147456,425,72,115.80448,0.0133963665,9877.5263671875,25556.89923706055,0.00025,-0.04984876895177877,1.1090197563171387,710,0.13215851783752441,0.2,0.133740234375,-45.624284625053406
346,149504,431,73,-99.2084,0.01232806,17983.775390625,38500.301049804686,0.00025,-0.04822213937586639,1.1094985008239746,720,0.1432703137397766,0.2,0.11767578125,-45.668242120742796
346,151552,437,74,-10.245371,0.017343141,19279.228515625,39648.1546875,0.00025,-0.04053960794117302,1.1112511157989502,730,0.1556878685951233,0.2,0.171923828125,-45.69976997375488
346,153600,443,75,-525.58875,0.011857883,25361.42578125,41864.664001464844,0.00025,-0.04434688181790989,1.1130623817443848,740,0.1366519331932068,0.2,0.1080078125,-45.74639625549317
346,155648,449,76,36.784428,0.016904768,6363.69580078125,15289.097708129882,0.00025,-0.058734401609399356,1.1156471967697144,750,0.20857834815979004,0.2,0.18154296875,-45.80436465740204
346,157696,455,77,-478.9195,0.01819137,12449.46875,22917.912872314453,0.00025,-0.044790428277337924,1.1172717809677124,760,0.14559102058410645,0.2,0.17744140625,-45.86801471710205
346,159744,460,78,43.717308,0.01236813,22762.322265625,41285.36610107422,0.00025,-0.045425237319432196,1.1186059713363647,770,0.12147212028503418,0.2,0.11298828125,-45.905458736419675
346,161792,466,79,-148.28311,0.022749206,11638.9453125,34888.5287109375,0.00025,-0.03858417812152766,1.1200579404830933,780,0.136366069316864,0.2,0.192138671875,-45.939050149917605
346,163840,472,80,-43.583313,0.018186055,26137.265625,72609.87985839843,0.00025,-0.034141448717855384,1.120368480682373,790,0.13749122619628906,0.2,0.15224609375,-45.9615713596344
346,165888,478,81,-176.3853,0.012322543,19652.99609375,44059.18629150391,0.00025,-0.04503832674818113,1.121307611465454,800,0.18211370706558228,0.2,0.11396484375,-45.98128023147583
346,167936,484,82,-243.86511,0.019314025,2996.156982421875,9349.638882446288,0.00025,-0.06500288344686851,1.1243351697921753,810,0.0852929949760437,0.2,0.212744140625,-46.04471650123596
346,169984,490,83,70.03661,0.01979827,10092.0068359375,21332.552172851563,0.00025,-0.0549252275028266,1.127346396446228,820,0.15817904472351074,0.2,0.202197265625,-46.11835136413574
346,172032,496,84,-90.40282,0.012372259,11481.8994140625,30734.19210205078,0.00025,-0.047045395980239844,1.128716230392456,830,0.1607125997543335,0.2,0.118896484375,-46.178345465660094
346,174080,502,85,121.978966,0.013684277,15508.74609375,31948.833038330078,0.00025,-0.051234754850156605,1.1295124292373657,840,0.13868999481201172,0.2,0.139599609375,-46.204524302482604
346,176128,507,86,150.62862,0.015540787,15439.640625,25377.826373291016,0.00025,-0.05329630778287538,1.1311372518539429,850,0.17448675632476807,0.2,0.153857421875,-46.237188410758975
346,178176,513,87,122.05201,0.015416917,11401.6015625,26668.929565429688,0.00025,-0.05771135322574992,1.1330950260162354,860,0.15282374620437622,0.2,0.155419921875,-46.2865394115448
346,180224,519,88,153.27997,0.025205549,12355.08203125,18359.602084350587,0.00025,-0.04738347846432589,1.134161353111267,870,0.16800957918167114,0.2,0.24140625,-46.321726250648496
346,182272,525,89,94.18172,0.01471791,19725.458984375,32185.016595458983,0.00025,-0.050142588259768674,1.1373512744903564,880,0.1489177942276001,0.2,0.151171875,-46.38300573825836
346,184320,531,90,9.109578,0.01575945,12304.009765625,23687.732299804688,0.00025,-0.05481063270708546,1.1389577388763428,890,0.1438276767730713,0.2,0.1669921875,-46.44378008842468
346,186368,537,91,73.92715,0.026959978,6042.35693359375,18319.269885253907,0.00025,-0.04896071414405014,1.141579270362854,900,0.1278666853904724,0.2,0.238427734375,-46.50130295753479
346,188416,543,92,-445.14456,0.016307982,9370.2197265625,22570.041131591795,0.00025,-0.055141392984660344,1.1440918445587158,910,0.18057864904403687,0.2,0.171044921875,-46.56328375339508
346,190464,549,93,455.41473,0.014762415,8914.4716796875,21998.999774169923,0.00025,-0.05506062648491934,1.147979497909546,920,0.08882737159729004,0.2,0.14619140625,-46.65398941040039
346,192512,555,94,-85.37113,0.014218674,16467.3125,28160.060943603516,0.00025,-0.0484444706060458,1.1492542028427124,930,0.12826788425445557,0.2,0.142236328125,-46.716390585899354
346,194560,560,95,-20.213667,0.022813471,13143.33203125,29125.281256103517,0.00025,-0.0436475222959416,1.1524956226348877,940,0.17525875568389893,0.2,0.2310546875,-46.778481817245485
346,196608,566,96,101.08282,0.013629067,17675.208984375,37884.42775878906,0.00025,-0.048752078699180856,1.1559888124465942,950,0.16401594877243042,0.2,0.12529296875,-46.86980152130127
346,198656,572,97,-50.795258,0.014768109,13822.7080078125,33927.65985107422,0.00025,-0.05269612485426478,1.1570862531661987,960,0.1755353808403015,0.2,0.13974609375,-46.92129466533661
346,200704,578,98,294.1711,0.01612066,20834.009765625,33756.98529663086,0.00025,-0.05665857048588805,1.1609768867492676,970,0.15525972843170166,0.2,0.168994140625,-46.99882471561432
