time/total_timesteps,train/reward,time/iterations,time/time_elapsed,time/fps,train/value_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/std,train/approx_kl,train/n_updates,train/explained_variance,train/loss
2048,-57.475525,1,5,392,,,,,,,,,,,
4096,32.499397,2,10,381,779.3394973754882,0.2,0.00025,-0.06212550289637875,-42.60994992256165,0.230078125,1.0023936033248901,0.019414524,10,0.0020698904991149902,395.4268798828125
6144,59.6305,3,16,381,627.3677412033081,0.2,0.00025,-0.05974043652822729,-42.66402418613434,0.21455078125,1.003691554069519,0.01863609,20,0.031260013580322266,265.0159606933594
8192,-48.964916,4,21,380,1030.9827854156495,0.2,0.00025,-0.05878050271421671,-42.712831902503964,0.2275390625,1.0058337450027466,0.02082238,30,0.0002974867820739746,654.6754760742188
10240,15.5582695,5,26,381,511.89640522003174,0.2,0.00025,-0.0724107453977922,-42.76634459495544,0.271337890625,1.0072259902954102,0.02430671,40,-0.008134007453918457,222.19332885742188
12288,5.997723,6,32,381,1366.684341430664,0.2,0.00025,-0.05103676107682986,-42.82418179512024,0.13193359375,1.0097554922103882,0.0148158185,50,-0.031565308570861816,686.31787109375
14336,-43.607704,7,37,381,1443.5569931030273,0.2,0.00025,-0.05404402436106466,-42.89911665916443,0.1677734375,1.0121973752975464,0.016158735,60,0.0168190598487854,607.6825561523438
16384,-76.69636,8,42,381,1008.2576427459717,0.2,0.00025,-0.06777463513135444,-42.95160129070282,0.2603515625,1.0134131908416748,0.021948937,70,0.01769477128982544,533.7070922851562
18432,-80.71447,9,48,382,1498.0668453216554,0.2,0.00025,-0.047314458244363776,-42.97208573818207,0.12607421875,1.0136463642120361,0.014120135,80,-0.07168877124786377,607.3858642578125
20480,-26.503382,10,53,382,2240.743500518799,0.2,0.00025,-0.04712116469454486,-42.976477241516115,0.19638671875,1.0141042470932007,0.018208865,90,0.0024736523628234863,820.3917846679688
22528,30.307804,11,59,381,4936.689225769043,0.2,0.00025,-0.043225343580706975,-43.015081548690794,0.096875,1.0159355401992798,0.011417925,100,0.017980515956878662,2039.326904296875
24576,-234.82405,12,64,381,9859.01521911621,0.2,0.00025,-0.028306799396523273,-43.05313084125519,0.04736328125,1.0166642665863037,0.007815821,110,0.035730600357055664,3248.77685546875
26624,130.51459,13,69,381,8176.356536865234,0.2,0.00025,-0.031210616559837943,-43.071593928337094,0.045751953125,1.0173026323318481,0.0078702215,120,0.05594277381896973,4477.06298828125
28672,-33.791153,14,75,382,4696.4401954650875,0.2,0.00025,-0.03629571065539494,-43.07195684909821,0.150634765625,1.0168107748031616,0.014240248,130,0.06661951541900635,1594.3963623046875
30720,-47.41664,15,80,382,4663.192338562012,0.2,0.00025,-0.04277877338172402,-43.08423478603363,0.14091796875,1.0181562900543213,0.014714243,140,0.05321156978607178,1977.1832275390625
32768,-46.568687,16,85,382,5452.21410522461,0.2,0.00025,-0.044317636277992276,-43.119079446792604,0.0962890625,1.0190584659576416,0.012317131,150,-0.010334610939025879,2384.109619140625
34816,6.397121,17,91,381,4648.074166870118,0.2,0.00025,-0.04700742269633338,-43.14387686252594,0.14970703125,1.0200525522232056,0.015252957,160,0.008107423782348633,1696.579833984375
36864,45.501804,18,96,381,10978.330850219727,0.2,0.00025,-0.027323270549823066,-43.16703701019287,0.0890625,1.020451545715332,0.00959855,170,0.01022648811340332,5709.052734375
38912,-70.73104,19,101,382,1999.972624206543,0.2,0.00025,-0.052840791814378466,-43.195489048957825,0.16171875,1.0220701694488525,0.017127384,180,-0.10584139823913574,804.2862548828125
40960,-25.252056,20,107,382,5413.230850219727,0.2,0.00025,-0.053559147971100174,-43.22139012813568,0.151416015625,1.0221294164657593,0.014391439,190,0.0032909512519836426,2190.975830078125
43008,-101.86342,21,112,382,3374.0700996398928,0.2,0.00025,-0.05877085291722324,-43.23989210128784,0.181494140625,1.0231345891952515,0.01660677,200,0.031157612800598145,1513.7325439453125
45056,-47.771145,22,117,382,4537.380445861816,0.2,0.00025,-0.054821031031315214,-43.271226572990415,0.1697265625,1.0243486166000366,0.015703198,210,0.04957783222198486,2549.895263671875
47104,-137.44568,23,123,382,6338.703649902343,0.2,0.00025,-0.050216252013342455,-43.32020289897919,0.1267578125,1.0263394117355347,0.013769643,220,-0.03468906879425049,2913.634521484375
49152,30.89382,24,128,382,4746.5375305175785,0.2,0.00025,-0.04870806856779382,-43.372868514060976,0.222412109375,1.0279922485351562,0.020488024,230,0.048923611640930176,2756.896484375
51200,-108.24032,25,133,382,4966.865664672851,0.2,0.00025,-0.04270596307178494,-43.399549055099484,0.19580078125,1.0285531282424927,0.017317671,240,0.06320512294769287,2378.20556640625
53248,-34.241096,26,139,382,3627.637313079834,0.2,0.00025,-0.06080027564894408,-43.428528332710265,0.204150390625,1.0294556617736816,0.018985178,250,0.05779987573623657,1641.789794921875
55296,85.539406,27,144,382,3622.4455902099608,0.2,0.00025,-0.05814916618983261,-43.44592278003692,0.1939453125,1.030418038368225,0.018339965,260,0.043919503688812256,2012.335205078125
57344,-5.9980345,28,149,382,5054.8495071411135,0.2,0.00025,-0.05151230708288494,-43.4811585187912,0.151318359375,1.0313712358474731,0.014433537,270,0.04668593406677246,2156.265380859375
59392,113.28627,29,155,382,5853.782113647461,0.2,0.00025,-0.04277678512007697,-43.521002531051636,0.15361328125,1.0331366062164307,0.016246047,280,0.03459209203720093,2853.406494140625
61440,-221.60208,30,160,382,5400.701519775391,0.2,0.00025,-0.04810080691240728,-43.56793015003204,0.137646484375,1.0346311330795288,0.013995094,290,0.12599575519561768,2319.830322265625
63488,-68.911705,31,166,381,8297.98826904297,0.2,0.00025,-0.04528927289647981,-43.61949443817139,0.1033203125,1.0368332862854004,0.012699071,300,0.13698464632034302,3372.194091796875
65536,-96.075165,32,171,381,14438.739288330078,0.2,0.00025,-0.025898908365343233,-43.659751653671265,0.146875,1.0373769998550415,0.014925434,310,0.1413586139678955,7394.45751953125
67584,88.65572,33,176,382,6569.8369140625,0.2,0.00025,-0.05055719892843626,-43.66431565284729,0.180078125,1.0374281406402588,0.01692845,320,0.17674416303634644,3170.368896484375
69632,-12.436512,34,182,382,14186.63180847168,0.2,0.00025,-0.04648207744467072,-43.666872119903566,0.116845703125,1.0375010967254639,0.01316377,330,0.11236351728439331,6993.935546875
71680,109.38333,35,187,382,10558.396276855468,0.2,0.00025,-0.0425099114945624,-43.681927990913394,0.17841796875,1.0384882688522339,0.018696394,340,0.20243829488754272,4911.22265625
73728,34.8307,36,192,382,4169.543444824219,0.2,0.00025,-0.04851285902550444,-43.73539154529571,0.256005859375,1.0410822629928589,0.023351459,350,0.13450956344604492,1645.011474609375
75776,-120.15922,37,198,382,5705.136734008789,0.2,0.00025,-0.05427810310793575,-43.80428388118744,0.167138671875,1.0429199934005737,0.016002126,360,0.11115574836730957,3162.880859375
77824,56.18392,38,203,382,4885.413922119141,0.2,0.00025,-0.050846712646307426,-43.838488936424255,0.216455078125,1.0439475774765015,0.01963865,370,0.10030680894851685,2078.8251953125
79872,50.481987,39,208,382,6192.134512329101,0.2,0.00025,-0.05447448216727935,-43.87682101726532,0.16337890625,1.0454360246658325,0.015820624,380,0.12479585409164429,2975.40283203125
81920,22.17052,40,214,382,12989.83968811035,0.2,0.00025,-0.03904563333780971,-43.91099441051483,0.1421875,1.0465188026428223,0.014696452,390,0.03608959913253784,5427.70361328125
83968,171.87787,41,219,381,16655.182189941406,0.2,0.00025,-0.033150435012066735,-43.93494257926941,0.055419921875,1.0471543073654175,0.009193437,400,0.08609610795974731,8818.0234375
86016,-132.9254,42,225,381,5045.535107421875,0.2,0.00025,-0.05725727394747082,-43.969870162010196,0.199072265625,1.0486854314804077,0.018828167,410,0.2288292646408081,2121.49951171875
88064,11.824134,43,230,381,8289.430618286133,0.2,0.00025,-0.050601368633215314,-44.00849521160126,0.216455078125,1.0496375560760498,0.023438111,420,0.12844759225845337,3792.10302734375
90112,52.547207,44,236,381,13755.709976196289,0.2,0.00025,-0.039259937693714164,-44.03034117221832,0.248193359375,1.0508445501327515,0.02351246,430,0.11743080615997314,7420.38623046875
92160,-16.040144,45,241,381,9164.31435546875,0.2,0.00025,-0.0493549304024782,-44.0735846042633,0.162939453125,1.0523650646209717,0.0156339,440,0.15339916944503784,4293.521484375
94208,294.87186,46,246,381,24734.364337158204,0.2,0.00025,-0.041472786648955665,-44.110845398902896,0.091455078125,1.0538194179534912,0.011299438,450,0.12282150983810425,8979.4951171875
96256,218.16473,47,252,381,15943.482727050781,0.2,0.00025,-0.04675336832879111,-44.14756650924683,0.120751953125,1.0546901226043701,0.013446934,460,0.17758440971374512,8197.287109375
98304,152.4583,48,257,381,11079.168734741212,0.2,0.00025,-0.04858297336177202,-44.18125855922699,0.147265625,1.0564106702804565,0.014843995,470,0.16319066286087036,5566.18798828125
100352,6.2070527,49,262,381,17240.35248413086,0.2,0.00025,-0.047425363340880725,-44.22840106487274,0.134375,1.0579224824905396,0.013475246,480,0.13013893365859985,9834.4169921875
102400,16.209486,50,268,381,16169.253106689453,0.2,0.00025,-0.05174220977060031,-44.25899827480316,0.148046875,1.0588772296905518,0.014393847,490,0.1450650691986084,6567.8515625
104448,-30.517176,51,273,381,18930.852160644532,0.2,0.00025,-0.04732535320799798,-44.306893491744994,0.1400390625,1.0610740184783936,0.01413789,500,0.13014578819274902,10279.96484375
106496,-227.2795,52,278,381,17292.452185058595,0.2,0.00025,-0.05011533790093381,-44.35109646320343,0.137060546875,1.062193751335144,0.014369004,510,0.19053030014038086,9418.6328125
108544,239.06921,53,284,381,10437.601336669923,0.2,0.00025,-0.05349938764702529,-44.37930345535278,0.169091796875,1.063244342803955,0.016232377,520,0.18182134628295898,4413.70654296875
110592,-64.29017,54,289,381,10926.955548095702,0.2,0.00025,-0.05356901808991097,-44.414412713050844,0.16591796875,1.0648380517959595,0.016020477,530,0.18583637475967407,4183.7734375
112640,243.69101,55,295,381,20878.41162109375,0.2,0.00025,-0.04740989642741624,-44.46114530563354,0.156689453125,1.0661369562149048,0.015076635,540,0.18423205614089966,13748.578125
114688,67.46248,56,300,381,17377.459997558595,0.2,0.00025,-0.05029313296545297,-44.47805771827698,0.15400390625,1.0662932395935059,0.015369379,550,0.19612330198287964,9921.744140625
116736,-20.98991,57,306,381,15744.368957519531,0.2,0.00025,-0.04939662392716855,-44.52572822570801,0.14208984375,1.0689562559127808,0.015001483,560,0.22359049320220947,8833.54296875
118784,-439.3272,58,311,381,15340.209802246094,0.2,0.00025,-0.052146150899352504,-44.58856747150421,0.158984375,1.0712093114852905,0.0150518585,570,0.22322368621826172,7674.14306640625
120832,-52.84483,59,316,381,10972.473904418945,0.2,0.00025,-0.05334474028204568,-44.627777338027954,0.17734375,1.0717474222183228,0.01676697,580,0.22915339469909668,3984.80908203125
122880,21.68686,60,321,381,19712.779083251953,0.2,0.00025,-0.04808161755790934,-44.67245683670044,0.194873046875,1.0741212368011475,0.019583505,590,0.2103036642074585,11064.47265625
124928,106.44133,61,327,381,15819.49460144043,0.2,0.00025,-0.05123997008195147,-44.7519278049469,0.163232421875,1.077409029006958,0.016484663,600,0.19581013917922974,10534.1318359375
126976,81.238075,62,332,381,20300.425939941408,0.2,0.00025,-0.050168614741414784,-44.80485696792603,0.198779296875,1.07821786403656,0.019699465,610,0.22424417734146118,10326.275390625
129024,-116.5299,63,338,381,18156.33692626953,0.2,0.00025,-0.04123465212178416,-44.85446538925171,0.200439453125,1.080777645111084,0.022370541,620,0.27415263652801514,8514.318359375
131072,-391.28027,64,343,381,21603.474993896485,0.2,0.00025,-0.04216904364875518,-44.89436023235321,0.130322265625,1.0816402435302734,0.014404422,630,0.17252784967422485,13830.7421875
133120,148.21556,65,348,381,10494.999279785156,0.2,0.00025,-0.059574178676120935,-44.91464066505432,0.213037109375,1.0821232795715332,0.018632574,640,0.2317712903022766,5458.6875
135168,-4.596172,66,353,381,11798.240277099609,0.2,0.00025,-0.05971473351528402,-44.931357741355896,0.202392578125,1.0829393863677979,0.017332627,650,0.2868990898132324,5906.25830078125
137216,-9.854235,67,359,381,16881.917028808595,0.2,0.00025,-0.04257630705833435,-44.94331958293915,0.212744140625,1.0828611850738525,0.020908073,660,0.29473286867141724,9682.3203125
139264,106.41616,68,364,382,18133.970208740233,0.2,0.00025,-0.05403411915758625,-44.96316800117493,0.156396484375,1.0840754508972168,0.015287125,670,0.3156287670135498,9262.5947265625
141312,-367.43375,69,370,381,23227.272711181642,0.2,0.00025,-0.04856929050656618,-44.981104779243466,0.1294921875,1.0847967863082886,0.013590532,680,0.3031347990036011,12169.41796875
143360,128.91507,70,375,381,12842.698596191407,0.2,0.00025,-0.044796777502051556,-44.995906066894534,0.208251953125,1.0851560831069946,0.02151848,690,0.1611858606338501,3794.983642578125
145408,194.28198,71,380,381,24025.720947265625,0.2,0.00025,-0.0471113279403653,-45.014672541618346,0.13408203125,1.085748314857483,0.0143333115,700,0.2707923650741577,10664.0146484375
147456,-83.162094,72,386,381,36594.63243408203,0.2,0.00025,-0.04649849886627635,-45.02808032035828,0.11728515625,1.0867234468460083,0.013644069,710,0.26972073316574097,14144.572265625
149504,-38.98183,73,391,381,18083.46351928711,0.2,0.00025,-0.048599419998936355,-45.07794337272644,0.246240234375,1.0891773700714111,0.02543,720,0.38424956798553467,8636.0361328125
151552,-126.72538,74,396,381,25569.186682128908,0.2,0.00025,-0.05017630587390158,-45.15121054649353,0.1375,1.0913937091827393,0.0143933,730,0.2853177785873413,12062.3154296875
153600,60.85358,75,402,382,20438.28543701172,0.2,0.00025,-0.053895104725961575,-45.21234219074249,0.16005859375,1.094084620475769,0.01609974,740,0.3597448468208313,7480.408203125
155648,-255.31877,76,407,382,10362.313702392577,0.2,0.00025,-0.05567354096492636,-45.29491639137268,0.3103515625,1.0973517894744873,0.030333605,750,0.3267933130264282,6196.11865234375
157696,-18.905369,77,412,382,15765.50521850586,0.2,0.00025,-0.05847193330118898,-45.34835050106049,0.19580078125,1.0981131792068481,0.018277138,760,0.39172399044036865,6843.90380859375
159744,163.19383,78,417,382,17733.20363769531,0.2,0.00025,-0.05648580420238432,-45.38914930820465,0.198583984375,1.1004208326339722,0.018503144,770,0.402924120426178,10885.0546875
161792,-53.5604,79,423,382,12843.453247070312,0.2,0.00025,-0.055842114677943755,-45.445059299468994,0.185791015625,1.101915717124939,0.016830014,780,0.2325776219367981,6668.83740234375
163840,29.828228,80,428,382,20546.349407958984,0.2,0.00025,-0.04452476778824348,-45.475270414352416,0.11513671875,1.1028419733047485,0.012582311,790,-0.14022541046142578,10283.544921875
165888,-55.817627,81,433,382,14321.062591552734,0.2,0.00025,-0.04737001204921398,-45.50360078811646,0.12431640625,1.1041728258132935,0.013756613,800,-0.06501424312591553,7072.3564453125
167936,218.82944,82,439,382,6863.702375793457,0.2,0.00025,-0.06564458418870345,-45.55203673839569,0.2400390625,1.1064168214797974,0.021473499,810,0.1726440191268921,3323.093017578125
169984,3.3521974,83,444,382,13196.292919921874,0.2,0.00025,-0.05853327223449014,-45.64191718101502,0.198876953125,1.1103638410568237,0.018115042,820,0.25334155559539795,6637.38037109375
172032,91.713776,84,449,382,17870.92590942383,0.2,0.00025,-0.05172483310161624,-45.71994943618775,0.158203125,1.1122257709503174,0.015039634,830,0.26291853189468384,9085.068359375
174080,20.572693,85,454,382,16733.988659667968,0.2,0.00025,-0.053894269425654784,-45.78251390457153,0.17841796875,1.1149342060089111,0.016125757,840,0.260442852973938,5823.8935546875
176128,-2.171358,86,460,382,26140.56376953125,0.2,0.00025,-0.03795826107088942,-45.82211048603058,0.1400390625,1.115896463394165,0.015178033,850,-0.01433563232421875,14512.625
178176,200.89403,87,465,382,21808.527947998045,0.2,0.00025,-0.05105707844777498,-45.852664303779605,0.1462890625,1.117438793182373,0.015114477,860,0.1404818892478943,9013.9658203125
180224,-107.78472,88,471,382,17206.71665649414,0.2,0.00025,-0.0539265619328944,-45.89504909515381,0.15556640625,1.1185269355773926,0.015457119,870,0.06941986083984375,7710.64453125
182272,38.92288,89,476,382,35704.709204101564,0.2,0.00025,-0.04432644544431241,-45.942789506912234,0.11845703125,1.1210839748382568,0.0133344205,880,0.11148726940155029,17281.2421875
184320,3.8082042,90,481,382,41344.478125,0.2,0.00025,-0.045591305581911004,-46.00579402446747,0.112939453125,1.1231290102005005,0.012713645,890,0.16136205196380615,22220.935546875
186368,78.59666,91,487,382,19109.119018554688,0.2,0.00025,-0.04353017620160245,-46.07646286487579,0.29677734375,1.1259855031967163,0.031792324,900,0.23572343587875366,9262.6611328125
188416,-471.02582,92,492,382,63747.06806640625,0.2,0.00025,-0.01877408237196505,-46.11914346218109,0.31142578125,1.127036452293396,0.042332254,910,0.18336260318756104,26958.9296875
190464,286.546,93,497,382,33455.82263183594,0.2,0.00025,-0.04359935522661544,-46.18513383865356,0.212646484375,1.130754828453064,0.025866535,920,0.2022952437400818,14904.7392578125
192512,1.0966744,94,503,382,20525.351531982422,0.2,0.00025,-0.051868716519675215,-46.26053879261017,0.160009765625,1.1324325799942017,0.015587008,930,0.15881526470184326,7976.68603515625
194560,-213.29161,95,508,382,24340.995446777342,0.2,0.00025,-0.05005785253597424,-46.31838943958282,0.18125,1.135133147239685,0.018431501,940,0.2514066696166992,12363.6328125
196608,-94.783035,96,513,382,36825.580346679686,0.2,0.00025,-0.050589929311536254,-46.355194783210756,0.14150390625,1.1353490352630615,0.014675151,950,0.26285821199417114,14836.82421875
198656,23.743877,97,518,382,47484.96015625,0.2,0.00025,-0.04811954669712577,-46.39393403530121,0.125,1.1379539966583252,0.014022205,960,0.26336926221847534,23859.025390625
200704,-267.13174,98,524,382,61235.10014648437,0.2,0.00025,-0.04123722623771755,-46.476118850708005,0.088330078125,1.1418548822402954,0.011117317,970,0.2558671832084656,25714.623046875
